RM,LSTAT,PTRATIO,MEDV
6.229,14.8,20.2,327600.0
6.03,11.74,20.2,327600.0
6.059,6.86,19.2,462000.0
6.625,4.74,20.2,525000.0
6.516,6.5,20.2,525000.0
6.579,5.68,20.2,525000.0
6.794,3.29,17.4,835800.0
6.456,4.73,20.2,525000.0
6.229,11.74,20.2,327600.0
6.487,5.98,20.2,525000.0
6.193,8.88,20.2,327600.0
6.433,5.56,20.2,525000.0
6.226,9.74,20.2,382200.0
6.579,6.19,20.2,525000.0
6.794,3.57,17.4,875700.0
6.343,10.36,20.2,392700.0
6.487,7.26,20.2,462000.0
6.229,13.09,20.2,384300.0
6.405,7.56,20.2,525000.0
6.701,3.26,18.6,945000.0
6.51,6.86,19.6,525000.0
6.209,8.1,20.2,327600.0
6.98,3.76,17.8,892500.0
6.426,5.25,20.2,525000.0
6.232,6.72,20.2,525000.0
6.312,8.43,19.2,462000.0
6.086,24.8,19.2,327600.0
6.195,11.64,20.2,327600.0
6.229,13.22,20.2,384300.0
6.144,10.19,20.2,327600.0
6.383,6.62,20.2,525000.0
6.794,3.64,18.4,1000000.0
6.471,7.18,20.2,462000.0
6.405,7.67,20.2,525000.0
6.127,13.04,20.2,327600.0
6.202,12.34,20.2,327600.0
6.335,6.29,20.2,525000.0
6.004,16.47,20.2,327600.0
6.03,20.32,20.2,327600.0
6.031,15.94,20.2,327600.0
6.127,9.08,20.2,327600.0
6.09,22.98,20.2,327600.0
6.092,15.17,20.2,327600.0
6.254,6.75,20.2,525000.0
6.411,4.32,17.4,685800.0
6.51,7.79,20.2,525000.0
6.209,6.9,20.2,327600.0
6.072,20.32,20.2,327600.0
6.03,17.09,20.2,327600.0
6.193,9.69,20.2,327600.0
6.086,18.13,20.2,327600.0
6.12,14.67,20.2,327600.0
6.03,12.03,17.8,485100.0
6.086,18.47,20.2,327600.0
6.167,12.8,20.2,327600.0
6.51,7.26,20.2,525000.0
6.417,8.61,20.2,409500.0
6.982,3.95,17.8,882000.0
6.051,7.67,17.9,405300.0
6.38,6.62,20.2,525000.0
6.212,12.12,20.2,327600.0
6.29,7.12,17.9,539100.0
6.229,14.59,20.2,327600.0
6.417,5.41,20.2,525000.0
6.167,5.33,19.2,462000.0
6.565,5.68,20.2,525000.0
6.185,14.09,20.2,327600.0
6.728,4.14,17.4,875700.0
6.174,5.98,20.2,525000.0
6.782,4.12,17.4,836400.0
6.405,5.87,20.2,525000.0
6.51,7.51,20.2,525000.0
6.485,6.98,20.2,525000.0
6.358,7.19,20.2,525000.0
6.301,6.29,20.2,525000.0
6.794,3.59,17.4,927900.0
6.108,11.12,20.2,327600.0
6.212,12.33,20.2,327600.0
6.229,10.5,20.2,327600.0
6.072,15.7,20.2,327600.0
6.431,6.72,20.2,525000.0
6.101,16.35,20.2,327600.0
6.312,10.26,20.2,386400.0
6.108,11.38,20.2,327600.0
6.563,6.36,20.2,525000.0
6.315,7.43,20.2,525000.0
6.968,3.5,17.4,953400.0
6.416,5.98,20.2,525000.0
6.162,13.15,20.2,327600.0
6.229,14.7,20.2,327600.0
6.635,3.82,17.9,966000.0
6.167,10.5,20.2,327600.0
6.217,9.71,20.2,327600.0
6.421,8.2,20.2,409500.0
6.726,4.74,17.4,834300.0
6.395,5.77,20.2,525000.0
6.382,6.57,20.2,525000.0
6.223,7.51,20.2,327600.0
6.315,8.07,20.2,394800.0
6.728,4.56,17.4,799200.0
6.642,3.76,17.4,779700.0
6.315,7.39,20.2,525000.0
6.064,14.7,20.2,327600.0
6.437,5.39,20.2,525000.0
6.108,10.19,20.2,327600.0
6.436,5.85,20.2,525000.0
6.153,10.16,20.2,327600.0
6.326,8.05,19.2,462000.0
6.229,9.42,20.2,327600.0
6.315,7.44,20.2,525000.0
6.421,6.86,20.2,525000.0
6.229,8.2,20.2,327600.0
6.593,5.12,20.2,525000.0
6.416,6.12,20.2,525000.0
6.943,2.97,17.4,827400.0
6.216,9.29,20.2,327600.0
6.167,9.08,20.2,327600.0
6.579,6.36,20.2,525000.0
6.728,3.64,18.6,1000000.0
6.437,5.91,20.2,525000.0
6.315,7.2,20.2,525000.0
6.728,4.45,17.4,834300.0
6.678,4.88,17.4,737100.0
6.421,6.93,20.2,525000.0
6.437,7.85,20.2,525000.0
6.416,6.86,20.2,525000.0
6.728,3.53,17.4,834300.0
6.406,6.9,20.2,525000.0
6.315,6.15,20.2,525000.0
6.728,3.67,17.4,834300.0
6.728,3.73,17.4,834300.0
6.728,3.81,17.4,834300.0
6.728,3.93,17.4,834300.0
6.728,4.0,17.4,834300.0
6.728,4.1,17.4,834300.0
6.728,4.2,17.4,834300.0
6.728,4.3,17.4,834300.0
6.728,4.41,17.4,834300.0
6.728,4.51,17.4,834300.0
6.728,4.62,17.4,834300.0
6.728,4.73,17.4,834300.0
6.728,4.85,17.4,834300.0
6.728,4.97,17.4,834300.0
6.728,5.09,17.4,834300.0
6.728,5.21,17.4,834300.0
6.728,5.33,17.4,834300.0
6.728,5.47,17.4,834300.0
6.728,5.6,17.4,834300.0
6.728,5.74,17.4,834300.0
6.728,5.89,17.4,834300.0
6.728,6.05,17.4,834300.0
6.728,6.21,17.4,834300.0
6.728,6.38,17.4,834300.0
6.728,6.56,17.4,834300.0
6.728,6.75,17.4,834300.0
6.728,6.95,17.4,834300.0
6.728,7.15,17.4,834300.0
6.728,7.36,17.4,834300.0
6.728,7.58,17.4,834300.0
6.728,7.8,17.4,834300.0
6.728,8.02,17.4,834300.0
6.728,8.25,17.4,834300.0
6.728,8.49,17.4,834300.0
6.728,8.73,17.4,834300.0
6.728,8.98,17.4,834300.0
6.728,9.24,17.4,834300.0
6.728,9.51,17.4,834300.0
6.728,9.79,17.4,834300.0
6.728,10.08,17.4,834300.0
6.728,10.38,17.4,834300.0
6.728,10.69,17.4,834300.0
6.728,11.01,17.4,834300.0
6.728,11.34,17.4,834300.0
6.728,11.68,17.4,834300.0
6.728,12.03,17.4,834300.0
6.728,12.39,17.4,834300.0
6.728,12.76,17.4,834300.0
6.728,13.14,17.4,834300.0
6.728,13.53,17.4,834300.0
6.728,13.93,17.4,834300.0
5.677,11.43,16.6,428400.0
6.328,9.37,16.6,522000.0
6.524,7.68,16.6,530100.0
6.717,4.45,16.6,628200.0
6.436,7.44,16.6,493500.0
6.392,6.42,16.6,516600.0
6.627,5.25,16.6,626100.0
6.004,6.21,16.6,478800.0
6.172,5.64,16.6,474600.0
6.619,5.19,16.6,611100.0
6.782,4.2,16.6,645300.0
6.239,5.02,16.6,520800.0
5.896,9.28,16.6,485100.0
5.837,11.52,16.6,422100.0
6.16,9.42,16.6,413700.0
5.961,9.83,16.6,396900.0
6.179,7.5,16.6,464100.0
6.366,9.14,16.6,470400.0
6.129,9.54,16.6,407400.0
5.931,7.65,16.6,438900.0
6.042,7.86,16.6,420000.0
6.667,5.65,16.6,579600.0
5.615,12.78,16.6,327600.0
5.823,8.14,16.6,411600.0
5.922,6.65,16.6,403200.0
5.814,6.73,16.6,411600.0
6.049,6.36,16.6,417900.0
5.734,7.37,16.6,392700.0
5.872,7.83,16.6,420000.0
6.417,5.95,16.6,485100.0
6.405,6.12,16.6,483000.0
5.569,11.66,16.6,340200.0
5.705,8.44,16.6,392700.0
6.004,5.5,16.6,407400.0
6.17,7.95,16.6,466200.0
6.3,7.52,16.6,462000.0
6.176,8.88,16.6,449400.0
6.021,6.44,16.6,445200.0
6.029,6.48,16.6,403200.0
5.828,8.36,16.6,403200.0
6.233,9.47,16.6,426300.0
6.179,8.14,16.6,417900.0
6.229,7.93,16.6,420000.0
5.884,6.15,16.6,420000.0
6.372,8.44,16.6,470400.0
6.154,8.14,16.6,428400.0
6.289,7.23,16.6,411600.0
6.05,7.66,16.6,420000.0
6.022,7.82,16.6,403200.0
5.856,8.75,16.6,407400.0
6.431,6.57,16.6,485100.0
6.449,6.19,16.6,485100.0
6.278,6.16,16.6,405300.0
5.874,7.39,16.6,411600.0
5.77,9.52,16.6,424200.0
5.987,8.67,16.6,424200.0
6.343,7.47,16.6,428400.0
5.895,7.53,16.6,426300.0
6.449,8.18,16.6,429300.0
6.233,7.9,16.6,431400.0
6.145,6.87,16.6,436800.0
6.072,7.7,16.6,451500.0
5.713,11.74,16.6,327600.0
6.072,9.29,16.6,436800.0
5.95,5.49,16.6,439800.0
5.701,8.65,16.6,422100.0
6.096,7.18,16.6,485100.0
5.933,4.61,16.6,470400.0
5.841,6.53,16.6,445200.0
5.85,7.43,16.6,439800.0
5.966,7.75,16.6,430500.0
6.595,6.58,16.6,422100.0
7.024,6.57,16.6,466200.0
6.77,6.46,16.6,483000.0
6.169,6.69,16.6,407400.0
6.211,9.04,16.6,462000.0
6.069,9.64,16.6,451500.0
6.027,8.05,16.6,455700.0
6.593,6.86,16.6,481800.0
6.12,7.07,16.6,445200.0
6.976,5.64,16.6,470400.0
6.794,6.48,16.6,437700.0
6.03,7.88,16.6,438900.0
5.871,6.93,16.6,445200.0
5.895,6.47,16.6,439800.0
6.059,7.53,16.6,422100.0
5.985,4.16,16.6,411600.0
5.968,7.19,16.6,431400.0
7.241,4.97,16.6,697200.0
6.54,4.74,16.6,525000.0
6.696,6.07,16.6,648600.0
6.874,3.73,16.6,716400.0
6.014,4.39,16.6,529200.0
5.898,3.11,16.6,479700.0
6.516,3.81,16.6,687300.0
6.635,4.41,16.6,681900.0
6.939,2.96,16.6,743400.0
6.49,3.16,16.6,691200.0
6.579,2.78,16.6,726600.0
5.884,3.79,16.6,611100.0
6.728,3.53,16.6,718500.0
5.663,4.03,16.6,506100.0
5.936,3.82,16.6,451500.0
6.212,2.94,16.6,691200.0
6.395,5.33,16.6,632100.0
6.127,3.56,16.6,551100.0
6.112,4.7,16.6,577500.0
6.398,5.1,16.6,632100.0
6.251,4.77,16.6,590700.0
5.362,5.12,16.6,520800.0
5.803,5.7,16.6,409500.0
5.743,6.1,16.6,437700.0
6.127,4.5,16.6,451500.0
6.009,4.24,16.6,484200.0
6.678,4.24,16.6,573300.0
6.549,6.23,16.6,649800.0
5.79,6.72,16.6,411600.0
6.345,6.93,16.6,468300.0
7.041,6.06,16.6,695700.0
6.871,5.99,16.6,684900.0
6.59,5.89,16.6,672300.0
6.495,5.98,16.6,666900.0
6.982,5.49,16.6,701400.0
7.236,4.5,16.6,730200.0
6.616,5.52,16.6,706800.0
7.42,5.86,16.6,890700.0
6.849,5.83,16.6,719400.0
6.635,5.28,16.6,697200.0
6.939,5.28,16.6,732900.0
6.49,4.94,16.6,764400.0
6.579,5.25,16.6,693000.0
5.884,5.03,16.6,525000.0
6.728,5.41,16.6,586800.0
5.663,4.68,16.6,506100.0
5.936,4.56,16.6,478800.0
6.212,4.45,16.6,579600.0
6.395,4.71,16.6,621000.0
6.127,4.93,16.6,577500.0
6.112,5.17,16.6,525000.0
6.398,4.86,16.6,589800.0
6.251,4.59,16.6,545400.0
5.362,4.96,16.6,525000.0
5.803,4.5,16.6,478800.0
5.743,5.3,16.6,504300.0
6.127,5.03,16.6,567000.0
6.009,4.38,16.6,514500.0
6.678,5.2,16.6,584100.0
6.549,5.21,16.6,558600.0
5.79,5.22,16.6,478800.0
6.345,5.28,16.6,598500.0
7.041,5.1,16.6,706800.0
6.871,4.77,16.6,663300.0
6.59,4.71,16.6,642600.0
6.495,4.69,16.6,634800.0
6.982,4.84,16.6,672300.0
7.236,4.37,16.6,711000.0
6.616,4.81,16.6,679500.0
7.42,4.36,16.6,838200.0
6.849,4.4,16.6,674100.0
6.635,4.1,16.6,650400.0
6.939,4.02,16.6,686100.0
6.49,4.16,16.6,705900.0
6.579,3.94,16.6,688500.0
5.884,4.0,16.6,534600.0
6.728,4.43,16.6,580200.0
5.663,4.08,16.6,495000.0
5.936,3.54,16.6,481800.0
6.212,4.24,16.6,586800.0
6.395,3.78,16.6,618300.0
6.127,3.6,16.6,562200.0
6.112,3.61,16.6,514500.0
6.398,3.96,16.6,582900.0
6.251,3.96,16.6,547200.0
5.362,3.73,16.6,525000.0
5.803,3.57,16.6,481800.0
5.743,3.52,16.6,501600.0
6.127,3.73,16.6,562200.0
6.009,3.98,16.6,514500.0
6.678,4.15,16.6,591600.0
6.549,4.15,16.6,558600.0
5.79,3.89,16.6,481800.0
6.345,4.01,16.6,594900.0
7.041,4.0,16.6,713700.0
6.871,3.86,16.6,672300.0
6.59,3.9,16.6,646800.0
6.495,3.79,16.6,636000.0
6.982,3.81,16.6,676500.0
7.236,3.99,16.6,702000.0
6.616,3.94,16.6,682200.0
7.42,4.15,16.6,817200.0
6.849,3.8,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.59,16.6,690600.0
5.884,3.53,16.6,537600.0
6.728,3.55,16.6,583200.0
5.663,3.69,16.6,504300.0
5.936,3.56,16.6,488400.0
6.212,3.9,16.6,579600.0
6.395,3.94,16.6,622200.0
6.127,4.01,16.6,579600.0
6.112,3.79,16.6,527400.0
6.398,3.96,16.6,586800.0
6.251,3.93,16.6,547200.0
5.362,3.83,16.6,525000.0
5.803,3.79,16.6,481800.0
5.743,3.56,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
6.212,3.74,16.6,579600.0
6.395,3.74,16.6,622200.0
6.127,3.74,16.6,579600.0
6.112,3.74,16.6,527400.0
6.398,3.74,16.6,586800.0
6.251,3.74,16.6,547200.0
5.362,3.74,16.6,525000.0
5.803,3.74,16.6,481800.0
5.743,3.74,16.6,498600.0
6.127,3.74,16.6,565200.0
6.009,3.74,16.6,514500.0
6.678,3.74,16.6,588600.0
6.549,3.74,16.6,558600.0
5.79,3.74,16.6,481800.0
6.345,3.74,16.6,594900.0
7.041,3.74,16.6,711000.0
6.871,3.74,16.6,670200.0
6.59,3.74,16.6,646800.0
6.495,3.74,16.6,636000.0
6.982,3.74,16.6,676500.0
7.236,3.74,16.6,702000.0
6.616,3.74,16.6,682200.0
7.42,3.74,16.6,817200.0
6.849,3.74,16.6,670200.0
6.635,3.74,16.6,646800.0
6.939,3.74,16.6,683400.0
6.49,3.74,16.6,710400.0
6.579,3.74,16.6,690600.0
5.884,3.74,16.6,537600.0
6.728,3.74,16.6,583200.0
5.663,3.74,16.6,504300.0
5.936,3.74,16.6,488400.0
